x,pollutant_concentration,oxygen_concentration
90.3,1.7459e-06,12
90.4,1.71704e-06,12
90.5,1.68866e-06,12
90.6,1.66075e-06,12
90.7,1.6333e-06,12
90.8,1.60631e-06,12
90.9,1.57976e-06,12
91,1.55364e-06,12
91.1,1.52796e-06,12
91.2,1.50271e-06,12
91.3,1.47787e-06,12
91.4,1.45345e-06,12
91.5,1.42942e-06,12
91.6,1.4058e-06,12
91.7,1.38256e-06,12
91.8,1.35971e-06,12
91.9,1.33723e-06,12
92,1.31513e-06,12
92.1,1.29339e-06,12
92.2,1.27202e-06,12
92.3,1.25099e-06,12
92.4,1.23031e-06,12
92.5,1.20998e-06,12
92.6,1.18998e-06,12
92.7,1.17031e-06,12
92.8,1.15097e-06,12
92.9,1.13194e-06,12
93,1.11323e-06,12
93.1,1.09483e-06,12
93.2,1.07674e-06,12
93.3,1.05894e-06,12
93.4,1.04144e-06,12
93.5,1.02423e-06,12
93.6,1.0073e-06,12
93.7,9.90647e-07,12
93.8,9.74273e-07,12
93.9,9.5817e-07,12
94,9.42333e-07,12
94.1,9.26758e-07,12
94.2,9.1144e-07,12
94.3,8.96375e-07,12
94.4,8.81559e-07,12
94.5,8.66988e-07,12
94.6,8.52658e-07,12
94.7,8.38565e-07,12
94.8,8.24705e-07,12
94.9,8.11073e-07,12
95,7.97668e-07,12
95.1,7.84483e-07,12
95.2,7.71517e-07,12
95.3,7.58765e-07,12
95.4,7.46224e-07,12
